ID,Language_ID,Parameter_ID,Form,InterRater_Segments,Segments,reliability_binary
Czech-fourteen-1,Czech,fourteen,tʃtrnaːtst,tʃ t r + n aː ts t,tʃ t r + n aː ts t,1
Czech-sixtyone-1,Czech,sixtyone,ʃɛdɛsaːt jɛdna,ʃ ɛ + d ɛ s aː t + j ɛ d n a,ʃ ɛ + d ɛ s aː t + j ɛ d n a,1
Czech-seventythree-1,Czech,seventythree,sɛdmdɛsaːt tr̝ɪ,s ɛ d m + d ɛ s aː t + t r̝ ɪ,s ɛ d m + d ɛ s aː t + t r̝ ɪ,1
Dhivehi-fiftyfive-1,Dhivehi,fiftyfive,fansavanna,f a n s a + ʋ a n n a,f a n s a + ʋ a n n a,1
Dhivehi-eightyone-1,Dhivehi,eightyone,ekāhi,e k + aː h i,e k + aː h i,1
Dhivehi-eight-1,Dhivehi,eight,aṣ̊,a ʂ̊,a ʂ̊,1
Dhivehi-thirtyeight-1,Dhivehi,thirtyeight,aṣutirīs,a ʂ u + t i r iː s,a ʂ u + t i r iː s,1
Dhivehi-sixtythree-1,Dhivehi,sixtythree,tēhaṭṭi,t eː + h a ʈ ʈ i,t eː + h a ʈ ʈ i,1
Dhivehi-fiftytwo-1,Dhivehi,fiftytwo,bāvanna,b aː + ʋ a n n a,b aː + ʋ a n n a,1
Dhivehi-five-1,Dhivehi,five,fas,f a s,f a s,1
Dhivehi-ninetyfive-1,Dhivehi,ninetyfive,fansayānavai,f a n s a + j aː + n a ʋ a i,f a n s a + j aː n a ʋ a i,0
Dhivehi-seventyfour-1,Dhivehi,seventyfour,saurahat̊tari,s a u r a + h a t̊ t a r i,s a u r a + h a t̊ t a r i,1
Dhivehi-sixtyone-1,Dhivehi,sixtyone,ekāhaṭṭī,e k aː + h a ʈ ʈ i,e k aː + h a ʈ ʈ i,1
Finnish-ten-1,Finnish,ten,kymːenen,k y mː e n + e n,k y mː e n + e n,1
Finnish-eightyone-1,Finnish,eightyone,kɑhdeksɑnkymːentæyksi,k ɑ h d e k s ɑ n + k y mː e n + t æ + y k s i,k ɑ h d e k s ɑ n + k y mː e n + t æ + y k s i,1
Finnish-fortyfour-1,Finnish,fortyfour,neljækymːentæneljæ,n e l j æ + k y mː e n + t æ + n e l j æ,n e l j æ + k y mː e n + t æ + n e l j æ,1
Finnish-eightythree-1,Finnish,eightythree,kɑhdeksɑnkymːentækolme,k ɑ h d e k s ɑ n + k y mː e n + t æ + k o l m e,k ɑ h d e k s ɑ n + k y mː e n + t æ + k o l m e,1
Finnish-four-1,Finnish,four,neljæ,n e l j æ,n e l j æ,1
Finnish-seventy-1,Finnish,seventy,seitsemænkymːentæ,s ei t s e m æ n + k y mː e n + t æ,s ei t s e m æ n + k y mː e n + t æ,1
Finnish-sixtyone-1,Finnish,sixtyone,kuːsikymːentæyksi,k uː s i + k y mː e n + t æ + y k s i,k uː s i + k y mː e n + t æ + y k s i,1
Finnish-one-1,Finnish,one,yksi,y k s i,y k s i,1
Finnish-eightyfive-1,Finnish,eightyfive,kɑhdeksɑnkymːentæʋiːsi,k ɑ h d e k s ɑ n + k y mː e n + t æ + ʋ iː s i,k ɑ h d e k s ɑ n + k y mː e n + t æ + ʋ iː s i,1
Finnish-thirtyseven-1,Finnish,thirtyseven,kolmekymːentæseitsemæn,k o l m e + k y mː e n + t æ + s ei t s e m æ n,k o l m e + k y mː e n + t æ + s ei t s e m æ n,1
Finnish-twentytwo-1,Finnish,twentytwo,kɑksikymːentækɑksi,k ɑ k s i + k y mː e n + t æ + k ɑ k s i,k ɑ k s i + k y mː e n + t æ + k ɑ k s i,1
Finnish-ninetythree-1,Finnish,ninetythree,yhdeksænkymːentækolme,y h d e k s æ n + k y mː e n + t æ + k o l m e,y h d e k s æ n + k y mː e n + t æ + k o l m e,1
French-twentyfour-1,French,twentyfour,vɛ̃tkatʁ,v ɛ̃ t + k a t ʁ,v ɛ̃ t + k a t ʁ,1
French-fortyfive-1,French,fortyfive,kaʁɑ̃tsɛ̃k,k a ʁ + ɑ̃ t + s ɛ̃ k,k a ʁ + ɑ̃ t + s ɛ̃ k,1
French-twentyseven-1,French,twentyseven,vɛ̃tsɛt,v ɛ̃ t + s ɛ t,v ɛ̃ t + s ɛ t,1
French-eighteen-1,French,eighteen,dizɥit,d i z + ɥ i t,d i z + ɥ i t,1
French-twentytwo-1,French,twentytwo,vɛ̃dø,v ɛ̃ t + d ø,v ɛ̃ t + d ø,1
French-fortyseven-1,French,fortyseven,kaʁɑ̃tsɛt,k a ʁ + ɑ̃ t + s ɛ t,k a ʁ + ɑ̃ t + s ɛ t,1
French-seventyone-1,French,seventyone,swasɑ̃tɔ̃z,s wa s + ɑ̃ t + ɔ̃ z,s wa s + ɑ̃ t + ɔ̃ z,1
Geez-three-1,Geez,three,ʃælæstu,ʃ æ l æ s t u,ʃ æ l æ s + t + u,0
